"Aircraft.Damage","Amateur.Built","Purpose.of.Flight","Weather.Condition","Broad.Phase.of.Flight","Event.Year","Fatal","Engine.Count","Total.Injuries","Total.Passengers"
"Destroyed","No","Aerial Observation","VMC","CRUISE","1986-1990",0,"1",2,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,3
"Minor","No","Personal","VMC","LANDING","1986-1990",0,"2+",0,3
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",4,4
"Substantial","No","Aerial Application","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","Yes","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",3,3
"Substantial","Yes","Personal","VMC","APPROACH","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","MANEUVERING","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",4,4
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,2
"Destroyed","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",3,4
"Substantial","No","Business","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","Yes","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Positioning","IMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Business","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,2
"Substantial","Yes","Personal","VMC","APPROACH","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","DESCENT","1986-1990",0,"1",2,2
"Minor","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,2
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","CLIMB","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Destroyed","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","STANDING","1986-1990",0,"1",0,1
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"1",0,5
"Destroyed","No","Personal","VMC","CRUISE","1986-1990",1,"1",1,1
"Substantial","Yes","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"2+",1,1
"Destroyed","No","Business","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"2+",0,3
"Substantial","No","Instructional","VMC","CRUISE","1986-1990",0,"1",2,2
"Substantial","No","Aerial Application","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",1,1
"Destroyed","No","Personal","VMC","DESCENT","1986-1990",1,"1",3,3
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,2
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Business","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Substantial","No","Other Work Use","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",1,1
"Destroyed","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,4
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,2
"Substantial","Yes","Personal","VMC","GO-AROUND","1986-1990",0,"1",0,1
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Destroyed","No","Other Work Use","IMC","CRUISE","1986-1990",0,"1",0,1
"Minor","No","Personal","VMC","TAXI","1986-1990",0,"1",0,4
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,4
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","LANDING","1986-1990",1,"1",4,4
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"2+",1,5
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,3
"Substantial","No","Instructional","VMC","TAXI","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"2+",0,6
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",4,4
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,2
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Destroyed","No","Personal","IMC","CRUISE","1986-1990",1,"2+",4,4
"Substantial","No","Personal","VMC","DESCENT","1986-1990",0,"1",1,2
"Destroyed","No","Personal","VMC","APPROACH","1986-1990",0,"1",2,3
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",2,3
"Destroyed","No","Personal","VMC","CRUISE","1986-1990",0,"1",3,3
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","Yes","Ferry","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","MANEUVERING","1986-1990",0,"1",2,2
"Destroyed","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Destroyed","No","Instructional","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",2,2
"Substantial","No","Other Work Use","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",1,4
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,2
"Destroyed","Yes","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Destroyed","No","Personal","VMC","CLIMB","1986-1990",1,"1",1,1
"Destroyed","No","Personal","VMC","CLIMB","1986-1990",1,"2+",4,4
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","IMC","MANEUVERING","1986-1990",1,"1",4,4
"Substantial","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",6,6
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",0,3
"Substantial","No","Personal","VMC","GO-AROUND","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,4
"Substantial","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Instructional","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",2,2
"Substantial","No","Aerial Application","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","APPROACH","1986-1990",0,"1",2,2
"Destroyed","No","Ferry","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,6
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",1,1
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Minor","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Public Aircraft","VMC","TAKEOFF","1986-1990",0,"2+",0,2
"Destroyed","No","Business","IMC","MANEUVERING","1986-1990",1,"1",1,1
"Destroyed","No","Personal","VMC","APPROACH","1986-1990",0,"2+",2,2
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",2,2
"Substantial","No","Aerial Application","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","CLIMB","1986-1990",0,"1",0,3
"Destroyed","No","Business","VMC","CRUISE","1986-1990",1,"1",1,1
"Substantial","No","Personal","IMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","DESCENT","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","DESCENT","1986-1990",0,"1",2,2
"Substantial","No","Ferry","VMC","LANDING","1986-1990",0,"2+",0,1
"Substantial","No","Personal","VMC","CLIMB","1986-1990",0,"1",0,4
"Substantial","No","Business","VMC","LANDING","1986-1990",0,"1",0,7
"Destroyed","No","Personal","IMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"2+",1,1
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",1,1
"Destroyed","No","Aerial Application","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"2+",2,2
"Substantial","No","Personal","VMC","GO-AROUND","1986-1990",0,"1",0,1
"Destroyed","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Destroyed","Yes","Personal","VMC","MANEUVERING","1986-1990",1,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",4,4
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","IMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","IMC","MANEUVERING","1986-1990",0,"1",1,2
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Substantial","No","Executive/Corporate","VMC","CRUISE","1986-1990",0,"1",0,3
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","IMC","CRUISE","1986-1990",1,"1",1,1
"Minor","No","Executive/Corporate","VMC","CLIMB","1986-1990",0,"2+",0,8
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",1,2
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","CRUISE","1986-1990",1,"1",4,4
"Substantial","No","Instructional","VMC","CLIMB","1986-1990",0,"1",0,2
"Destroyed","No","Personal","IMC","CRUISE","1986-1990",1,"2+",2,2
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,4
"Destroyed","No","Business","VMC","CRUISE","1986-1990",0,"1",1,3
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",2,2
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"2+",0,4
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Destroyed","No","Personal","VMC","CRUISE","1986-1990",0,"1",3,3
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"1",0,4
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,4
"Substantial","No","Ferry","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","Yes","Personal","VMC","TAXI","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,2
"Destroyed","No","Personal","VMC","APPROACH","1986-1990",1,"2+",4,4
"Destroyed","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Destroyed","No","Executive/Corporate","VMC","TAKEOFF","1986-1990",0,"2+",2,6
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Aerial Application","VMC","STANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","DESCENT","1986-1990",0,"1",0,3
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Substantial","No","Business","VMC","TAKEOFF","1986-1990",0,"1",0,3
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Destroyed","No","Personal","VMC","LANDING","1986-1990",1,"1",1,1
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",1,1
"Substantial","No","Business","VMC","CRUISE","1986-1990",0,"1",1,1
"Destroyed","No","Aerial Application","VMC","MANEUVERING","1986-1990",1,"1",1,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","DESCENT","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Destroyed","No","Personal","VMC","DESCENT","1986-1990",1,"1",1,1
"Substantial","No","Business","VMC","LANDING","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","APPROACH","1986-1990",0,"1",0,1
"Destroyed","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",1,"1",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","GO-AROUND","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,5
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","LANDING","1986-1990",0,"1",2,2
"Destroyed","No","Personal","VMC","DESCENT","1986-1990",0,"2+",5,5
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","DESCENT","1986-1990",0,"1",0,2
"Substantial","No","Other Work Use","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Destroyed","Yes","Personal","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",2,2
"Destroyed","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","LANDING","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",2,2
"Destroyed","No","Positioning","VMC","CRUISE","1986-1990",1,"1",2,2
"Destroyed","No","Personal","VMC","APPROACH","1986-1990",1,"2+",3,3
"Substantial","No","Aerial Observation","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,1
"Substantial","No","Ferry","VMC","TAKEOFF","1986-1990",0,"2+",0,1
"Substantial","No","Other Work Use","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","DESCENT","1986-1990",0,"1",0,4
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Other Work Use","VMC","STANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,6
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,4
"Substantial","No","Positioning","VMC","TAXI","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",1,1
"Substantial","No","Instructional","VMC","CLIMB","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","STANDING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","APPROACH","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"2+",0,8
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","TAKEOFF","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","CLIMB","1986-1990",0,"1",3,3
"Substantial","Yes","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,3
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Instructional","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Destroyed","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","GO-AROUND","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Minor","Yes","Personal","VMC","MANEUVERING","1986-1990",0,"1",2,2
"Destroyed","No","Business","IMC","DESCENT","1986-1990",1,"1",4,4
"Substantial","No","Ferry","VMC","APPROACH","1986-1990",0,"2+",1,1
"Substantial","Yes","Personal","VMC","APPROACH","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",1,1
"Substantial","No","Personal","VMC","APPROACH","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",1,2
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",2,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Business","IMC","CRUISE","1986-1990",1,"2+",1,1
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",0,2
"Substantial","No","Business","VMC","APPROACH","1986-1990",0,"2+",0,2
"Substantial","No","Personal","VMC","GO-AROUND","1986-1990",1,"1",2,2
"Destroyed","Yes","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","STANDING","1986-1990",0,"1",1,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Destroyed","No","Instructional","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","No","Instructional","VMC","CLIMB","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"2+",0,2
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","MANEUVERING","1986-1990",0,"1",0,2
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Destroyed","No","Ferry","VMC","TAKEOFF","1986-1990",1,"2+",2,2
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",4,4
"Destroyed","No","Instructional","VMC","LANDING","1986-1990",0,"1",4,4
"Substantial","No","Aerial Application","VMC","TAKEOFF","1986-1990",0,"1",0,1
"Destroyed","No","Instructional","VMC","TAKEOFF","1986-1990",1,"1",1,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,4
"Substantial","No","Aerial Application","VMC","APPROACH","1986-1990",0,"1",1,1
"Substantial","No","Instructional","VMC","APPROACH","1986-1990",0,"1",0,2
"Substantial","No","Instructional","VMC","MANEUVERING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,3
"Substantial","No","Instructional","VMC","CRUISE","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","MANEUVERING","1986-1990",1,"1",1,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,4
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","GO-AROUND","1986-1990",0,"1",1,1
"Substantial","No","Personal","VMC","DESCENT","1986-1990",0,"1",0,4
"Substantial","No","Business","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","CLIMB","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","CLIMB","1986-1990",1,"1",3,3
"Destroyed","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",1,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",2,2
"Substantial","No","Personal","VMC","TAXI","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,2
"Substantial","No","Personal","VMC","GO-AROUND","1986-1990",0,"1",3,3
"Substantial","No","Personal","VMC","CRUISE","1986-1990",0,"1",2,2
"Substantial","No","Positioning","VMC","TAKEOFF","1986-1990",0,"1",1,1
"Substantial","No","Instructional","VMC","LANDING","1986-1990",0,"1",0,1
"Substantial","No","Personal","VMC","LANDING","1986-1990",0,"1",0,3
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",1,3
"Substantial","No","Business","VMC","GO-AROUND","1986-1990",0,"2+",0,1
"Destroyed","No","Business","VMC","MANEUVERING","1986-1990",1,"1",2,2
"Substantial","No","Personal","VMC","TAKEOFF","1986-1990",0,"1",0,2
"Substantial","No","Aerial Application","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Substantial","Yes","Personal","VMC","MANEUVERING","1986-1990",0,"1",0,1
"Destroyed","No","Personal","VMC","TAKEOFF","1986-1990",1,"1",2,2
"Substantial","No","Personal","VMC","CLIMB","1986-1990",0,"1",0,2
